Filename	Segment label	F1.50	F2.50	F3.50	F1.25	F2.25	F3.25	F1.75	F2.75	F3.75
s05101	p	443.243083139163	1521.6009886343631	2995.7404322183747	488.3962055303537	1337.4877426612113	2824.7143758118987	473.20891154246704	1630.2264593085638	2764.745214628745
s05101	a	823.1653944263097	1670.107736563814	2608.6676385317633	812.7555857541568	1479.3927263121632	2583.2206347072633	745.4487173082505	1810.2066046107927	2487.127664535459
s05101	r(	560.3064881381538	1761.2849632170007	2260.516345849731	548.6049580523649	1766.335436767443	2301.4296121357515	634.0567726304615	1764.6079672953333	2177.3811205922525
s05101	a	844.9389217152724	1612.1334030583034	1924.209054314071	816.7060807107597	1841.0007991811085	2018.8298750731249	982.3398480002584	1776.9884423131869	2757.6570029923414
s05101	f	722.3286065678859	2232.0799380156873	3503.120170396445	952.2422544575526	1357.7012486725246	2551.972328757781	987.7207041990341	2123.1979973719544	3417.583038043326
s05101	o	650.5692015836559	1302.1738906957307	2570.5611285213517	609.8201625331064	1136.298325961731	2832.1790348319205	600.6068229819623	1465.4581895306828	2208.407719016678
s05101	r(	335.64638758224396	1615.4256040067482	2469.8053190111755	414.9887137616964	1616.1771842109379	2043.6283184865615	341.35904737223626	1700.7495287505146	2643.8509594856628
s05101	s	766.2436193526958	2031.295472172459	3330.095835953214	669.0212300943839	2008.3610955172444	3264.8351577294457	776.7445927736344	1929.8467746696722	3215.3944700314864
s05101	a	802.8162355729595	1760.2111911860286	1867.1844695355787	746.6345448359003	1621.8126005256943	1887.6396576596517	766.0959009542366	1876.9507079038658	1973.8101252176443
s05101	r(	450.62753716299267	1667.5876926474286	1935.8766858490228	510.1771085510934	1754.5691796325896	1936.4501302392418	460.85081970787525	1663.8202531914683	2022.7921246998267
s05101	u	355.72418200146984	1438.1343902018532	2247.469085602965	474.926587440844	1618.7893988250896	2261.9679015556057	322.57611691728357	1401.6471109669774	2068.8495257870454
s05101	n	310.50667655153836	1535.8148382875108	2552.7527147493533	304.6718178067384	1492.1175422268134	2587.2373827192782	317.3181980538559	1533.2354551769472	2478.2483958348403
s05101	a	505.35573746654467	1859.696094029959	2014.5353127764186	411.8252303305243	1762.9240979825333	2218.462640930249	620.0052120167487	1873.413831321796	1950.8748348246877
s05101	a	632.2699848118111	1863.5682758447472	2318.311523735546	665.7602068722774	1852.33152162946	2300.7636125699146	598.8650862387166	1891.7607746355472	2334.716743203352
s05101	k	555.4074389582852	1862.4390465828103	2480.0047334717924	466.7195377348508	1848.0679966687899	2545.567276279518	572.9108729360935	1917.8618300731096	2295.5745980947886
s05101	t	428.8243920249379	2025.6283388191348	2953.582323088711	358.5905535492751	1770.0978663139883	3003.8859203432235	473.9078977412155	2154.42973155688	3330.1764849378196
s05101	u	582.0318486080425	1608.0594986084845	2056.613667715992	563.04804992655	1656.1033026277073	2051.0496195963547	607.2414271249511	1589.5757552486093	2015.0513032001209
s05101	a	712.986780778094	1785.2770944490956	1810.9630728204922	700.2827881972545	1669.8645718996383	1795.4807766482104	658.8502430250333	1858.850874594596	1876.0977401908265
s05101	l	393.3928073729751	1941.0379257904017	3040.608718559198	397.1404813633717	1911.7739396603397	3053.577450444994	377.41079346890655	1988.4729693661568	2913.144612092766
s05101	i	366.86555338838275	2325.168762825372	2667.804496030166	409.61605307833815	2560.3058369525256	2804.0714299886936	321.845817427481	2033.6777399845714	2636.728419195093
s05101	s	514.330758813778	2433.0463144732385	3370.793182389521	449.0990221629912	2512.8008314634994	3357.47781283723	725.3255621089015	2234.9582351593435	3260.826954949794
s05101	a	613.7875639629277	1778.3809019084536	1948.3849200264378	577.3187684451747	1670.1173219985756	1934.7833575154534	604.612055890271	1673.3681602101324	2310.8639507233934
s05101	s	640.9632235532215	2265.3221928418293	3263.1747252529776	630.4036326668085	2029.1814982024855	3285.699330071896	535.6809746930754	2635.338123231178	3454.132042338265
s05101	i	313.1004562247505	2625.9609769055724	3190.428525256678	275.4117269432061	2631.650767861178	3433.525043730022	391.3112669228926	2520.515467720718	2753.3088100068508
s05101	o	590.7513325346754	1675.552729303258	2697.5865186470287	651.1083832654848	1964.2716439691321	2864.7456066247228	413.37856469977055	1435.3006017323446	2659.8211664295077
s05101	n	308.4989187194333	1065.3523391363833	2602.5355117677673	302.45164634049354	1091.6484367294674	2547.499159652415	299.1708957976898	1046.979906954699	2792.0026399512126
s05101	k	325.74865467949354	1076.7643451229749	2613.0664505464897	401.0336264944052	1040.1868709642376	2777.5606953881743	821.7441081152653	1758.3579588411437	2888.74411414525
s05101	u	698.9956369051209	1350.2578854771052	2715.2798591568085	649.5674907076647	1281.1981019417638	2811.0777535553248	726.9499334998104	1429.9458054364327	2248.5790989615616
s05101	a	751.9508113526731	1695.4200504980886	1796.6675596095006	756.3035748109077	1625.8742758109806	1978.3619811934102	720.6253578210439	1317.883026856331	1923.1144274323162
s05101	n	327.7651083498483	1595.917739111202	2768.4769647918743	337.18973649907196	1472.7461263444939	2723.933989582541	338.8573688732385	1516.069512980345	2755.432960243109
s05101	d	382.0046941749137	1787.0245784787212	3121.241130025713	350.8451374003516	1820.903141702472	2964.620065240245	435.6394049480846	1756.6311936526997	3100.1904081372786
s05101	o	435.48782863350704	2124.993180768835	3035.3172106378597	456.2694589370641	1896.845428779006	3015.9628683033598	408.40811611977904	2336.635788104145	3029.0837633516053
s05101	.0	397.06093052606576	2496.4459019632754	3905.9672634896365	381.4653955221159	2544.036220756841	3620.431348071348	389.8820789724587	2477.1974481122	3801.2266647524243
s05101	e	526.4113323961968	2505.821950258885	2742.9912583810556	605.4518903886713	2378.710901747207	2625.27616212741	522.59157389792	2544.552692347967	2880.4833763157512
s05101	k	613.8801971087078	2365.824185672677	2673.380614811517	647.5932577881989	2426.586338342128	2852.8277299318806	813.0504533340856	2011.3835736937526	2409.8321800071913
s05101	s	1020.0414818704645	2290.4408576412275	3211.842244363928	2153.877278326326	2637.5052007218897	3900.7222234769006	851.4119198850859	2391.149544072635	3202.949692589056
s05101	i	267.3289567113474	2541.426084751597	2941.857117837176	286.0819737589943	2548.8466090714523	3241.1346049640383	273.2916107082919	2576.4600327442295	2896.3614689199003
s05101	s	256.4933188836712	2353.215706729234	3240.707780221219	1491.1052813538429	2888.3660891949994	4039.723677281138	264.30405593603916	2309.8096203286127	3191.75093966733
s05101	t	244.7339303988987	2103.5931905076104	3052.249374963924	278.83465552362253	1968.0534047839574	3144.746564616207	551.6030790929353	2242.7960342495426	3271.3306418691227
s05101	e	501.5274370992083	1807.5486756925914	2394.3761520673047	487.14088100055784	1509.649317257251	2374.3372021551336	482.0423693485834	2045.6755294081756	2346.109689749885
s05101	l	327.76948369151876	1658.0594699093015	2890.7382451737103	353.5955858168698	1855.1256364493431	2943.4685231934636	305.09978332215053	2355.881396218794	3155.256692301911
s05101	f	494.3772250261436	2297.624319544889	3305.2750889313515	393.64244390115977	2314.787597515966	3219.2845035886257	307.90585986924714	2189.3238580024176	3235.358807721266
s05101	i	275.76523391615245	2556.2161336366457	4097.173095228745	1638.472807719014	3068.2851610047005	3537.161697633558	312.48914123035325	2604.507395053751	3968.3892481332946
s05101	tS	1419.2349483719754	2608.9394786654693	3652.133174015544	299.9035280244361	2117.6366933807703	3259.4221340351564	949.056018124314	2498.8111519726835	3381.3259610323503
s05101	e	462.81119795716796	2393.2605361724463	3168.0163162860144	451.22604437990407	2217.1014574628816	2415.5757094185205	442.9873771809937	1784.256398919532	2376.3607919415986
s05101	r(	433.95285954280973	2118.0713218792316	3125.6810329492628	407.6186585459851	2158.1348299503047	3220.1979875533434	398.199999477093	1945.8220007021168	2824.031344465121
s05101	o	463.3256336894947	1856.184930808544	2688.11604890953	445.528467254667	1481.5447600541513	2630.2728654353978	305.04535861920573	1638.2679944265892	2627.5629887666655
s05101	.sil	1716.9449972002883	3074.9386946071218	3829.435691841278	388.38154095160985	1808.1546131002403	3011.952905476943	--undefined--	--undefined--	--undefined--
s05102	m	251.8821733749205	1178.6259290131804	2597.4094593857585	240.84237695182267	1830.922652924732	2803.1542722618688	279.677233016089	1144.2821407914143	2586.0189407501293
s05102	u	316.8680319385682	1180.7113516298589	2954.904188773603	324.1442719559022	1035.8202417588154	2850.663068728482	293.51130435444776	1378.7646754031007	3150.79103224851
s05102	s	1736.3510727399134	3009.75555102486	4297.402852295217	1732.499598778506	2763.244653450304	4068.3855989609083	1887.8727012686056	2963.5437317691685	3652.636339441873
s05102	e	597.6619265015413	2007.8420387476729	3016.1701895110336	605.2512037703426	1905.8066402512159	2668.690212697487	615.6752417412307	1976.0531537453749	2925.915179900559
s05102	o	672.5626835596563	1563.0181322111894	3008.0675553391284	742.5526110916435	1634.1144305179705	2966.516920838886	623.5745328797074	1565.8106440900326	3045.848098746932
s05102	d	432.055981356982	1579.8804566472525	2989.4743418411176	495.6937969776925	1614.4300564611083	2994.528518666784	481.6844869592545	1637.4200473763983	2964.5610446110936
s05102	e	651.9070717734243	1748.2893612962469	3098.375191682579	644.9306631334309	1797.5663984459088	2984.6356970896136	560.6008341900754	1585.8775749439765	2488.80163261056
s05102	s	435.5560001850045	1927.2690398244815	3233.0243282905176	652.73430499995	2064.87822132235	3453.7934894379223	441.375506512924	2025.1878898852801	3276.107392766369
s05102	o	672.5218525161585	1475.030954915855	3050.6590332698315	671.7841304873743	1574.1268592917033	2393.397143210117	634.4001435013885	1449.514701705209	2793.7768651239694
s05102	l	428.707514261614	1561.9154982495463	2285.5026184291246	407.71803562890835	1596.1205488156643	2413.192063504807	457.31908964561086	1559.6907214468913	2222.806402297161
s05102	o	581.9056151568225	1535.2293455057197	2886.3948510591053	627.7703651472134	1513.0011255594143	2809.808674792194	522.682629275275	1628.3421065299713	2818.0635913458823
s05102	x	1950.7354417719175	3731.54552076604	3961.6908907000766	457.88609161099424	2548.7457795808045	3133.069689706611	1232.5618220650033	2737.224905647029	4003.1170568721536
s05102	i	337.03905543665127	2498.4529789653056	2839.9786276504865	300.0922926682551	2486.2980014680334	2912.7347775305384	445.8132700048004	2424.4422511085604	3142.9675524047493
s05102	a	701.5083706393569	2097.187467814794	2407.8261322857115	624.1214643222722	2263.9354683471165	2339.1245120991703	697.1878174310853	1951.4834725954395	2135.631344164722
s05102	d	301.9375119388722	1694.6713796547406	2015.9854412493821	399.2296512882974	1680.8465838234292	1818.6318424694848	310.536355563058	1742.5870094561462	2128.378978661039
s05102	e	626.0973677305944	2094.9060988702868	2506.51476066124	592.6599439554324	2045.2458483289452	2214.586289380532	626.558424177922	2118.198000661087	2609.2739814180763
s05102	l	420.0221851890726	1793.3284163508522	3025.6369174844053	429.68284393597787	1853.316986867924	3064.0501341976496	487.4056765947116	1782.9967036839246	3122.999983650661
s05102	a	785.1806268352651	1699.462177354188	2706.93416513041	763.850791241741	1784.8095636464582	2805.5732651100366	764.4292595334964	1649.655949361126	2892.546635896407
s05102	u	382.01561817222154	1511.7741627260225	2079.485156814168	514.9507758866184	1513.6523632745361	2586.722920092455	324.73416840442	1653.4701878747417	2194.7140013763683
s05102	n	268.97217092068877	1421.9750132408285	2707.8289982853626	269.780260327323	1413.0280313179824	2699.7847689257383	283.54673908822497	1356.316021129817	2710.343452104538
s05102	i	361.00284780959447	2635.6361952339817	3742.652394397116	340.46951913636366	2654.4147502706537	3756.823581489093	368.73072989337015	2568.704934041806	3348.2968942532875
s05102	b	422.2610375076989	1723.1950798074922	2578.719694885342	400.54432253767584	1767.128133969756	2539.9516855121024	443.3087837601533	1859.4336151264388	2619.2429646935216
s05102	e	571.7949323713691	1987.4071043867352	2565.7950958858546	553.6421036454659	2008.3531597376623	2631.418976725302	530.9883852017631	2015.7882352390889	2524.6414386570227
s05102	r(	517.3553473292291	2170.6507687415083	3024.2876317263267	437.3519296678442	2013.7233807037373	2723.339344670287	564.9981492364188	2225.305507903892	3202.8838741144414
s05102	s	561.06260373067	2381.3924152386744	3325.2704635968744	534.4795389778844	2238.919975161637	3270.1714822402055	850.9328340258434	2519.3224175554424	3364.3508907568394
s05102	i	346.9158566745446	2518.6465861570728	3079.106243980181	329.20665254971846	1557.441687293991	2572.790461886116	419.0798596884875	2442.0396535573373	2584.512662744166
s05102	d	610.0991048783014	2103.244622110848	2306.4799034864313	541.8488832096756	2080.454064772199	2264.284664482712	671.0630661990699	2114.9333037219585	2341.8920755031886
s05102	a	742.7128551718985	1822.902322402675	2330.9009699141047	740.3650249064422	1863.8734697197165	2379.003987730856	698.6502800162513	1858.1789466126806	2324.4596372845936
s05102	d	664.6016397684736	1941.5959192108778	3194.311516997982	620.437200783718	1828.600150245027	3148.2193137247923	494.1041468995066	1963.114744953595	2252.0703958499107
s05102	e	622.2970999226747	2333.653807129731	3229.924993005577	526.1912284867752	2254.0670378233476	2352.0227120267264	626.1007981097621	2336.199018306187	3169.861536089801
s05102	m	280.98809251860865	1592.5624648710711	2698.8916390643717	287.28669468813894	1611.7738782626298	2470.118456976257	274.45953868720227	1441.6465557432	2694.594963263136
s05102	i	312.1153357034919	1091.178288326293	2738.403668488337	316.1221186215257	1164.347639038859	2723.1036786516693	288.10405569315435	795.8760055183747	2756.515014963623
s05102	tS	2147.6043587696936	3265.8911136821653	4221.723437352963	273.626417042621	1168.1389859113124	2717.0075925776728	2396.9173869995257	3271.2814847838545	4442.041776864135
s05102	i	396.9375419846754	2740.6526633275353	3034.938752046641	353.8719454212734	2702.622648535955	3163.028924815356	399.10851780551246	2631.1460709813923	3031.567599059735
s05102	g	1535.334697725962	2709.8319504452256	3810.241181569551	321.11404183155537	2485.766464872278	3351.462854664987	361.5998777435552	2400.299711846375	3081.5972486568794
s05102	a	924.9927738079264	1938.5106513468597	2925.4063771335213	796.348912647247	1973.5272427165348	2891.472898748775	637.1240723395092	1849.663554166544	3054.1304790385884
s05102	n	213.8333056935884	1818.7738579606105	2674.0617483944266	228.20623710390566	1274.9648945256395	2562.396326719163	104.358912414497	1700.3539723192455	2557.099905684342
s05102	.sil	1198.0763350748134	2007.7611035166287	3444.5147418819647	188.8723299813284	1647.9865790301753	2845.659150958247	1028.7324048237251	2404.1278285993153	3064.2574040649038
s05103	p	1712.9308445057309	2798.4781039239506	3727.8533434968967	1276.0824118851708	2855.021704437539	2964.058051217725	326.9180320920696	1725.8320466947653	2847.9593906353216
s05103	l	522.429579929082	1890.6362214189653	3177.7181514176946	452.3269286045523	1915.0517084244177	3133.4779706349887	552.5351807521798	1887.15880915045	3163.1179526957485
s05103	a	919.1524375969575	1894.9659035538855	2165.11427067115	892.036275536823	1898.2739122654561	2635.244135723461	803.832335947166	1777.9457887181	1884.4138399894105
s05103	n	310.0472041493795	1701.1993031536479	2277.2077489590824	318.04021568198687	1761.3614152603714	2510.0842163069783	301.0932391414694	1635.8171141900807	2089.7988929270737
s05103	s	335.0839363658056	2139.123357354889	3253.3668192515483	417.6642492150894	2095.080433228691	3278.280893767818	1639.5078510815422	2488.8502180714254	3416.1339093883653
s05103	e	681.0939915719595	2217.27842561236	2839.7838098014463	677.2153927098802	1962.5592505814345	2477.0210475087088	607.9140820733912	2410.135080249594	2773.5158920984754
s05103	k	675.1741216277861	2322.541837432133	3101.000579440294	542.5517314909916	2122.8783624261946	2491.324206895551	537.601258736551	2319.2799319196056	2640.1382267353956
s05103	t	407.74889229813385	2308.112294497979	3189.889182193446	420.38672026293887	1392.8300962297897	2266.820383560158	777.5273451814821	1943.1277482233868	2914.4786613563188
s05103	o	639.9608204225738	1576.9432536901181	2513.5261679605196	609.9566073979047	1632.4043958709556	3040.1248556371684	563.2017134238578	1696.2006068389767	2276.892201167327
s05103	r(	350.96071173193883	1839.3914933554497	2192.166457190183	392.9507392362363	1942.2597131500274	2862.950262342445	362.26190654016233	1946.049094793959	2558.3305530885896
s05103	i	465.88984982619473	2455.9088761493504	3177.644010314271	429.459054512549	2464.651209592241	3010.808307053163	492.2564733809655	2438.995668822985	2811.7873138203513
