Filename	Segment label	F1 (Hz)	F2 (Hz)	F3 (Hz)
p113	sil	1365.7422180753224	2375.089304673055	3643.316361400448
p113	b	1214.964195848414	2446.8574581582116	3471.6286286988534
p113	a	847.425364743598	1467.4755634059588	2678.7202333876676
p113	x	925.8275336792339	1338.6792257535815	2784.044993030043
p113	o	541.8947152112573	877.1007151433922	2625.4963501939806
p113	sil	1166.4592757443977	2222.419387818313	3351.9742478787607
p113	T	1166.6364689687234	2466.780917688872	3516.4148540822766
p113	o	633.9130704187285	1048.5663847742487	2745.508572465952
p113	m	428.89863364786345	944.9396211892613	2537.8101521299322
p113	b	397.73753041358395	777.7091577147133	2518.1123302147303
p113	i	511.778845633705	2673.7515291731947	3026.9539551888233
p113	sp	774.9265738322812	2098.5004240776248	3146.8323749881993
p113	b	292.92705353730065	775.1015045760361	2646.870575760943
p113	a	837.0404525585052	1541.140220776744	2632.325337851857
p113	s	690.7360962056182	2025.6375005450293	2845.755237670572
p113	i	452.02939750491913	2550.100742530782	2784.6180563820267
p113	k	181.9992655215974	1822.9237813241327	2942.927833948327
p113	o	522.6028913486525	976.6840597352658	2544.417412062833
p113	sp	955.538822191174	2352.0621586115603	3192.7269600500654
p113	l	427.14665836642735	2396.891508249045	2786.8117657717116
p113	i	487.1907811079152	2275.492155029323	3013.5063669050264
p113	m	306.1019371197496	488.12609618947073	2660.257339847167
p113	i	400.9971672663972	646.3653354673542	2830.866667482745
p113	t	562.0940318429217	1959.844381449111	3221.689720122551
p113	e	590.5027018174706	2020.9451772861717	2967.283606234286
p113	sp	1773.2717095842108	3057.1607456117476	4078.9287728570985
p113	b	751.370206834537	1768.0966081900062	2559.524996582975
p113	a	579.890846386497	2047.2330037491463	2615.4789383564553
p113	k	702.383226343768	2049.8298003689347	3170.1171403353287
p113	t	1356.4051525539057	2556.004298955935	3734.1090911323
p113	e	635.7726183121015	2058.841100124357	2858.8859164960622
p113	rf	506.4366716926946	2141.3702803446295	2877.7023875669684
p113	j	520.8875276593205	2350.2470213538095	2807.2512523572277
p113	a	801.9779405479948	1878.5773332658423	2766.5453979593335
p113	s	740.6068653920032	1888.063833257115	2843.5276831895503
p113	sp	1482.7206139013995	2718.5253530270184	3735.781943558582
p113	a	865.3833395458279	1049.347429425177	1442.8061362610013
p113	rf	577.551088924203	1219.4604742618048	2074.674895207165
p113	b	380.78046849935805	771.2942012752919	2665.2927130547855
p113	o	697.1917782547205	864.2215449326892	2424.1997803482022
p113	l	438.9239061352621	1342.5536847490237	2625.3104534901922
p113	sp	776.8282508470767	1446.1214525416465	2809.8994783282683
p113	l	783.8645825389369	1873.610239495125	2687.6654370197894
p113	a	742.800861203642	1851.0961778631133	2700.2920822715055
p113	s	771.4032453028318	1910.9361977349945	2820.2549580443465
p113	a	705.3883001373521	1739.0199459776536	2699.1642754253944
p113	m	409.671357748304	780.8511459761138	2634.4820468709136
p113	i	463.05502651163323	670.5813162513166	2881.4404848601407
p113	G	444.06092843019155	2069.32279288804	2883.967343677564
p113	a	666.1067307338809	1737.7924459390515	2531.9471878283184
p113	s	522.5270500768241	1734.299551440617	2793.042827068311
p113	sp	1807.0033873450157	2640.1264414939883	3496.0251330986407
p113	b	442.74764214871584	543.7015532905426	2404.5127593500383
p113	e	657.4629780994505	2089.0190073991334	2991.2289678781317
p113	s	672.2817586416904	1810.0010517229857	2732.6741843472905
p113	sil	1824.1075395130404	2982.2154305860963	3980.4261272576327
p113	b	483.6409591653117	2420.3060106396592	3708.857366871208
p113	a	810.897063246776	1701.4861689686923	2896.8779628939506
p113	l	416.94141243205894	1386.475760372128	2846.007685684645
p113	o	611.9961909513638	1008.3339406941387	2776.680465016995
p113	rf	1485.6737075616654	2006.0502353543131	3168.8846296202814
p113	sp	1934.8082012820446	2619.922107061838	3263.5472942969614
p113	a	1093.9297151625062	1755.2569117297699	2731.191656103663
p113	rf	707.7310551497156	1913.3163088586	3009.186662223683
p113	b	293.5400343807591	1994.6999548646681	3157.222740127856
p113	u	426.7678384624682	801.6211172762451	2824.5535420592687
p113	s	465.31593400500327	2349.4286570063514	2748.8985809039045
p113	t	181.56215490168267	1505.7653581845473	2493.604099818798
p113	o	649.0507652797147	2334.2167184531977	2725.9545393183676
p113	s	899.1282419580466	1955.9911381035354	2864.351993405175
p113	a	768.6739897784916	1694.2356791391778	2664.3871432934106
p113	n	532.5206557247069	792.9795719222263	2516.499484758312
p113	a	621.727093740242	1051.9730680773594	1700.8394594947342
p113	o	648.655447754765	959.3706547743329	3282.0906779872057
p113	rf	550.1517500822924	1598.9488581800917	2571.188430931739
p113	j	475.7728129809606	2463.1507973235293	2680.6101637568104
p113	a	579.6966646902106	1869.8742528319606	2797.7760838329273
p113	sp	1391.3819002052744	2308.1244759560036	3538.701872751048
p113	l	510.1936889452408	1417.6344017111917	2897.704342355544
p113	i	519.3584305050259	2745.2114337785993	2999.2565090894664
p113	b	426.36922011806416	1172.0212230100376	2739.005941948834
p113	rf	545.4455127223209	1421.167668040198	2194.6458250060746
p113	o	618.0288353878567	1216.1027931460578	2444.035171790142
p113	sp	712.3214076010555	2109.8294124946415	2930.471272433361
p113	b	799.7223822055375	1562.3197450520443	2591.8204640887725
p113	a	792.7664531136099	1779.6573387511876	2589.1372444228714
p113	l	424.34248271504424	1238.0847296944748	2825.0301197452063
p113	w	626.5238111147037	1089.288399816821	2667.913465366403
p113	a	712.1657232939386	1712.5968953339254	2777.2385750177336
p113	T	607.9745783546018	1909.2950935377921	2936.714027303142
p113	j	449.4439977694048	2249.8835355750803	2583.583955549616
p113	o	717.1691437130285	1430.9533812336115	1505.1181953298192
p113	n	589.7479039546898	1971.0161671011708	2679.732732314664
p113	sp	756.142864681769	1556.0996176146186	2829.5651452100105
p113	k	828.1232613330616	1946.6329645052506	2587.8841483929286
p113	a	725.7296477800725	1823.2474169002544	2156.8598930376347
p113	x	1028.6633758902578	1835.075280384879	2570.843803435585
p113	a	866.7769279020776	1756.721491796422	2607.8778910241463
p113	s	605.2469915812621	1858.7434869067781	2782.655507732091
p113	a	750.0312351889485	1631.4575722514276	2775.2684208288542
p113	m	450.0453771373324	1353.3309135528596	2653.7607613889522
p113	a	755.4941328989856	1684.2012664329975	2747.365334963829
p113	rf	635.1959995717032	1981.4574145902075	2672.161465017961
p113	i	423.4799862487265	1480.7603184480795	2777.739577211668
p113	L	464.2465990211374	2827.456168342384	2927.593316441507
p113	a	801.0931322807533	1841.836600489252	2584.205166522727
p113	s	569.4960266155316	1944.2843192140997	2893.1088088658003
p113	sp	1162.3971940189542	2163.064017698609	3346.550668760782
p113	b	457.8436598935748	1144.8456157582768	2637.9418081392423
p113	a	810.8510039220081	1489.1166706246913	1813.3064223709364
p113	rf	578.0265994888288	1884.414268735579	2099.170823054337
p113	o	662.4001591313863	1096.1991619044027	2450.2732903641504
p113	m	477.32661997788125	1128.0824910359813	2522.593075198087
p113	e	689.3383602962947	1895.019373031375	2805.1158677847807
p113	t	795.1844915270938	1289.6891085028524	2617.574233376594
p113	rf	599.6643796849429	1375.3537840439476	2580.2561318767257
p113	o	535.1177485804816	1114.3817316385982	2481.8333886570094
p113	sp	368.7078427078121	1865.5530902651658	2927.0171929507783
p113	k	851.9037980648554	1676.4168035057226	2605.5907375661377
p113	a	761.6575317532639	1619.5176297370415	2488.0273755239887
p113	rf	600.6424809361429	1594.2910343985197	1647.3974036273246
p113	b	365.78956134944764	837.5539682359374	2692.4754207877468
p113	o	572.2024439022126	797.0924055062093	2513.8360309195555
p113	n	607.7785617411302	1446.0778719857087	2587.6792392551633
p113	o	617.0974251134161	1006.7744998295892	2651.002095188468
p113	sp	877.2333677568176	1629.0282113800201	2922.4781363041084
p113	b	382.5410798610652	699.4587703552711	2600.496202043007
p113	i	493.686156242411	568.6942912760213	2807.577045543134
p113	s	727.9767042840508	2002.3644535743092	2917.974479752133
p113	k	1600.6286696408408	2684.7863259953024	3674.4770366970856
p113	o	727.8616384886589	1059.2282904469275	2475.495255771822
p113	sp	1951.3311818380996	2654.101711391025	3012.5881871358292
p113	s	890.459640775309	1881.6800179284135	2959.6312684734125
p113	e	642.7485997041312	2021.848091493058	2776.6068379103967
p113	rf	502.9576837065973	2010.5611019359808	2731.327288360491
p113	o	636.8372642442795	1091.4033577112382	2522.169566746302
p113	sp	1118.7069986845463	2149.3121772381564	3133.679041008384
p113	l	504.4891618243197	633.4203048060643	2897.322461902439
p113	o	637.0161532329832	1114.2566491100683	2867.1582704356024
p113	x	525.654250255764	2395.8031233865636	3050.1026475020703
p113	i	422.4930606196613	1799.9171103013118	3224.2965231375842
p113	k	470.8878242974374	1950.0142529108614	2574.2852560785973
