Filename	Segment label	F1.50	F2.50	F3.50	F1.25	F2.25	F3.25	F1.75	F2.75	F3.75
p113	sil	1365.7422180753224	2375.089304673055	3643.316361400448	1077.407015499155	2226.4541777563027	3370.3912606238187	1608.734442926097	2191.687062299047	3349.647081220465
p113	b	1214.964195848414	2446.8574581582116	3471.6286286988534	316.72897654257093	1874.554452135409	2893.822659596373	251.02832333507448	707.455513786519	2586.144869532344
p113	a	847.425364743598	1467.4755634059588	2678.7202333876676	747.2660060945034	1385.6445034400303	2772.2736447428274	809.4094227262751	1264.7721273248335	2659.0666315168965
p113	x	925.8275336792339	1338.6792257535815	2784.044993030043	873.5884355213269	1467.8790115393444	2688.7842607106954	831.0934613528648	1298.8485560670629	2690.0140026606628
p113	o	541.8947152112573	877.1007151433922	2625.4963501939806	512.1589980953777	852.8473013311126	2576.8820712983443	424.377995976043	803.7829949252111	2629.2087609160226
p113	sil	1166.4592757443977	2222.419387818313	3351.9742478787607	1066.3159066190765	2248.817903610291	3473.557673743526	1131.5284713674687	2522.789865686529	3799.1971725775284
p113	T	1166.6364689687234	2466.780917688872	3516.4148540822766	1561.1884060835046	2546.4116759816357	3926.0200397189287	761.0838795937347	2148.6960204741113	3226.2266403391754
p113	o	633.9130704187285	1048.5663847742487	2745.508572465952	635.3991100408749	1147.2079028069525	2924.8088347645044	617.421083958243	1025.8022269750286	2726.4672259865465
p113	m	428.89863364786345	944.9396211892613	2537.8101521299322	467.98229740618604	965.9060031578971	2538.258177633685	420.76966942877385	820.7721545157291	2575.8378793051224
p113	b	397.73753041358395	777.7091577147133	2518.1123302147303	392.52103434270754	793.8197743662122	2520.7395153411317	386.5580596942502	1509.9888450462543	2416.136393752484
p113	i	511.778845633705	2673.7515291731947	3026.9539551888233	465.8968402467143	2715.7778277414363	3040.3537091733306	669.9294730890524	2640.2232688160766	3130.7709856903502
p113	sp	774.9265738322812	2098.5004240776248	3146.8323749881993	1066.3525810126737	1788.2948206935566	2827.9799915091266	1331.4571492643001	2651.020930529767	3348.185779034813
p113	b	292.92705353730065	775.1015045760361	2646.870575760943	442.4068157352266	1470.627967737197	2619.8299947950973	332.47701412282777	655.3818161647872	2703.5016552650163
p113	a+	837.0404525585052	1541.140220776744	2632.325337851857	808.0363321857464	1424.8384428395102	2615.960492295504	819.5537615050808	1661.8338619959245	2600.03135094314
p113	s	690.7360962056182	2025.6375005450293	2845.755237670572	765.6307737687164	1962.574675632741	2974.072636749097	840.3620352120445	1968.8457186227392	2942.263567624114
p113	i	452.02939750491913	2550.100742530782	2784.6180563820267	504.70750432738174	2340.5890995338495	2817.6329085527695	461.2256247896556	2655.588982349744	2798.5810653515287
p113	k	181.9992655215974	1822.9237813241327	2942.927833948327	284.80742866467256	1951.4917456374765	2828.669986594873	1263.517221821792	1969.2156187443986	3242.5270088836337
p113	o	522.6028913486525	976.6840597352658	2544.417412062833	661.6677581461986	1180.076405492912	2428.2153539829405	465.96933490558786	1020.2980150223904	2571.1844476206224
p113	sp	955.538822191174	2352.0621586115603	3192.7269600500654	1052.4006736095416	2237.5604900512017	2984.8097537054873	1112.4351077124534	2415.0833531359062	3323.4301657891274
p113	l	427.14665836642735	2396.891508249045	2786.8117657717116	416.20064513035834	2300.139717355403	2752.695805948456	452.28678746761346	2712.0980927307332	3638.394789342374
p113	i+	487.1907811079152	2275.492155029323	3013.5063669050264	487.6500376569873	2504.653829943739	2824.6632155513685	408.8512883029665	2300.994991162901	3111.633699843227
p113	m	306.1019371197496	488.12609618947073	2660.257339847167	356.67520102104885	1015.1953487537106	2643.2972065399777	467.4200325363287	653.9656107928225	2583.7550968344267
p113	i	400.9971672663972	646.3653354673542	2830.866667482745	431.2116422261183	712.1105589500081	2762.206535212401	504.65914752881105	1275.8745271196785	2860.72706685392
p113	t	562.0940318429217	1959.844381449111	3221.689720122551	557.560935241755	1133.371588736145	2934.711435386504	1748.9332859010929	2631.621992704867	3852.4562107434335
p113	e	590.5027018174706	2020.9451772861717	2967.283606234286	643.6785553952769	1997.9705618396022	2787.4156905790255	612.3051196337489	1988.789312787999	3019.644429749262
p113	sp	1773.2717095842108	3057.1607456117476	4078.9287728570985	1290.9641352082836	2431.251666972683	3556.0356094556846	1348.985762547206	2707.019889587693	4026.623033860385
p113	b	751.370206834537	1768.0966081900062	2559.524996582975	774.0460961566265	1641.1411466142304	2538.3857159318823	725.2972861408957	1855.0320314235946	2597.82635340426
p113	a	579.890846386497	2047.2330037491463	2615.4789383564553	664.9674403102997	2015.1634440206653	2694.3197459319326	567.2064742882665	2077.2414477487555	2551.914698870975
p113	k	702.383226343768	2049.8298003689347	3170.1171403353287	593.7158416581408	1931.6036104654527	2832.229661907976	1334.4596175307618	2474.463346502981	3436.099798240911
p113	t	1356.4051525539057	2556.004298955935	3734.1090911323	1245.4501694177923	2384.9475606267115	3652.2842292796427	1063.5160340556106	2222.080607562369	3219.5116541709035
p113	e	635.7726183121015	2058.841100124357	2858.8859164960622	612.4304743781308	1980.8794592736633	2851.5389203575996	619.6555864294194	2074.2830317009616	2892.3150924516913
p113	rf	506.4366716926946	2141.3702803446295	2877.7023875669684	577.974747144419	2165.862360089838	2839.805341062678	466.79661551466944	2333.0329073899197	2778.858526532465
p113	j	520.8875276593205	2350.2470213538095	2807.2512523572277	487.62204034521255	2411.2647152898176	2724.326823867584	567.5244748577759	2290.590940597342	2814.639706856821
p113	a	801.9779405479948	1878.5773332658423	2766.5453979593335	686.5702191544725	2061.3468896402005	2793.5535328848505	663.5059352151798	1840.9651049374393	2817.9757595679253
p113	s	740.6068653920032	1888.063833257115	2843.5276831895503	577.2188321403138	1719.7102905307768	2642.4967826675625	696.9444048996882	1818.2856113423736	2905.3470329155066
p113	sp	1482.7206139013995	2718.5253530270184	3735.781943558582	1821.2342902267949	2827.555908615537	3790.632345236262	596.7612985260724	1751.4998656914454	2917.798754855841
