Participant,Vowel,F1.50,F2.50,F3.50,F1.25,F2.25,F3.25,F1.75,F2.75,F3.75,Gender,Corpus,t1_ph,t2_ph,fname,dur_ph,t1_wd,t2_wd,word,is_wdinit_ph,is_wdfin_ph,prev_ph,next_ph
p112,a,656.1557243078843,1020.41867485699,2572.2661373551496,645.4102521491409,872.5090575210236,2554.069990579899,654.7356812893604,1229.8913330711353,2568.321765504702,Male,CBAS,18.165,18.235,textgrids/cbas/p112.TextGrid,0.07000000000000028,18.055,18.545,valor,False,False,b,l
p112,o,418.54966389904337,725.909363676589,2307.6743327378786,444.1724291491277,759.3702815005366,2413.3323367810067,392.63314779553264,737.0620782129747,2305.8482443261787,Male,CBAS,18.345,18.475,textgrids/cbas/p112.TextGrid,0.13000000000000256,18.055,18.545,valor,False,False,l,rf
p112,a,306.8348895424049,1137.1801873067286,2498.1497113616692,647.5636386411313,1140.3966869160656,2293.5184429364817,585.6959424265907,1243.8953096592616,2581.1230047436497,Male,CBAS,19.897,19.997,textgrids/cbas/p112.TextGrid,0.10000000000000142,19.897,20.507,arbusto,True,False,sp,rf
p112,u,341.7148754354338,724.4445262172708,2352.410499057938,334.7782000657557,698.6489701130264,2501.136151972558,358.0394247641767,703.0871632258101,2253.0439940365377,Male,CBAS,20.147,20.267,textgrids/cbas/p112.TextGrid,0.120000000000001,19.897,20.507,arbusto,False,False,b,s
p112,o,353.7360514501438,861.9636155346906,2358.413206409282,402.61601925798965,820.669603843677,2326.328771030208,284.92213433129587,734.7222635670212,2385.9183665515084,Male,CBAS,20.397,20.507,textgrids/cbas/p112.TextGrid,0.11000000000000298,19.897,20.507,arbusto,False,True,t,sp
p112,a,591.7839153232245,1303.5648476627046,2618.076381318827,538.9894115217446,1270.5730550432395,2621.113634334919,598.759252542843,1393.2523338704289,2599.032938910654,Male,CBAS,21.773,21.843,textgrids/cbas/p112.TextGrid,0.07000000000000028,21.643,22.373,zanahoria,False,False,s,n
p112,a,766.6899771335083,1397.378432185861,2690.569818411748,763.3173935018074,1469.0717890447754,2680.679614303625,656.6702552521867,1021.907596110574,2619.2894248476223,Male,CBAS,21.923,22.023,textgrids/cbas/p112.TextGrid,0.10000000000000142,21.643,22.373,zanahoria,False,False,n,o
p112,o,437.7207324545361,657.2979633064413,2412.800043582188,460.07496975380536,757.2401805163162,2473.310655441277,443.29864088946715,715.5175862544853,2315.212604541181,Male,CBAS,22.023,22.143,textgrids/cbas/p112.TextGrid,0.120000000000001,21.643,22.373,zanahoria,False,False,a,rf
p112,a,469.00166640661047,1564.9810230885778,2394.984925882049,460.7517470422888,1736.3784665097219,2399.552639759634,396.98524839223603,1487.2621038845841,2582.8091853282203,Male,CBAS,22.273,22.373,textgrids/cbas/p112.TextGrid,0.10000000000000142,21.643,22.373,zanahoria,False,True,j,sp
p112,i,358.03152482499183,1349.2498228289028,2402.822013595503,358.3135940918903,2110.165155062829,2717.2701874589434,377.0023245882692,2158.666126297911,3011.95100882172,Male,CBAS,24.133,24.193,textgrids/cbas/p112.TextGrid,0.060000000000002274,24.053,24.433,libro,False,False,l,b
