Corpus,Gender,stress,F1.50_norm,F2.50_norm
CBAS,Female,stressed,0.7040118452827802,1.4452110944336007
CBAS,Female,unstressed,0.6838337865766324,1.4382062701044536
CBAS,Male,stressed,0.6597994545442601,1.363304733674349
CBAS,Male,unstressed,0.6337978540017776,1.344530630304569
DIMEx100,Female,stressed,0.6464463431778145,1.536985909658771
DIMEx100,Female,unstressed,0.6202486275321346,1.5581516884325366
DIMEx100,Male,stressed,0.5952490729044227,1.5280713791231637
DIMEx100,Male,unstressed,0.5840567183743817,1.533586423819478
