Participant,Vowel,F1.50,F2.50,F3.50,F1.25,F2.25,F3.25,F1.75,F2.75,F3.75,Gender,Corpus,t1_ph,t2_ph,fname,dur_ph,t1_wd,t2_wd,word,is_wdinit_ph,is_wdfin_ph,prev_ph,next_ph,upper_f1,lower_f1,upper_f2,lower_f2,upper,lower,Speech Rate,stress_vowel,vowel_ind,stress,Delta F.50,Delta F.25,Delta F.75,F1.50_norm,F2.50_norm,F1.25_norm,F2.25_norm,F1.75_norm,F2.75_norm
p112,a,695.7909759669969,1139.95328248074,2667.2586210225536,689.324612028631,840.1831743428019,2738.685252086265,672.6653606345087,1108.588352717775,2626.355792716974,Male,CBAS,0.82,0.92,textgrids/cbas/p112.TextGrid,0.10000000000000007,0.71,1.14,bajo,False,False,b,x,786.5012766292012,410.6918855202422,1832.2541563224452,711.5070949068413,3053.600962350595,1908.4721928440692,1.5452327417117149,0,0,stressed,942.4926542274492,919.2481091972724,938.576788207814,0.7382455161280054,1.2095089307779774,0.7498787379944456,0.9139895594416684,0.7166865504088848,1.1811376188352083
p112,a,443.06288519660484,1309.1683970495296,2011.333639995089,520.9268992719003,1104.6693999456577,2083.767348651404,419.26171173146486,1494.0789729677415,1815.9714308179568,Male,CBAS,9.556,9.616,textgrids/cbas/p112.TextGrid,0.0600000000000005,9.436,10.246,bacterias,False,False,b,k,786.5012766292012,410.6918855202422,1832.2541563224452,711.5070949068413,3053.600962350595,1908.4721928440692,1.5452327417117149,1,0,unstressed,942.4926542274492,919.2481091972724,938.576788207814,0.4700969107921361,1.3890489131956585,0.5666880291184895,1.2017097330886035,0.4466994251285857,1.5918558734236794
p112,a,478.5550241010074,1666.1976904533105,2364.429451638522,448.3293545498495,1780.1516705287304,2379.82977577845,479.31823197113806,1623.2356145141541,2359.9488746854345,Male,CBAS,9.976,10.036,textgrids/cbas/p112.TextGrid,0.05999999999999873,9.436,10.246,bacterias,False,False,j,s,786.5012766292012,410.6918855202422,1832.2541563224452,711.5070949068413,3053.600962350595,1908.4721928440692,1.5452327417117149,1,1,stressed,942.4926542274492,919.2481091972724,938.576788207814,0.5077546461020152,1.7678627870251935,0.4877131103825171,1.9365301410119151,0.5106862198098706,1.7294649035735017
p112,a,585.3484001847239,1228.0373952920215,2661.984488091103,568.0247017247883,1270.5646152310972,2630.829784999861,583.1799408320558,1281.4149236499754,2847.046821794662,Male,CBAS,13.701,13.741,textgrids/cbas/p112.TextGrid,0.03999999999999915,13.621,13.851,las,False,False,l,s,786.5012766292012,410.6918855202422,1832.2541563224452,711.5070949068413,3053.600962350595,1908.4721928440692,1.5452327417117149,0,0,stressed,942.4926542274492,919.2481091972724,938.576788207814,0.6210641510670739,1.3029676038150453,0.617923165728143,1.3821781111310738,0.621344942852914,1.3652744663511245
p112,a,670.2027946962593,1274.9637762477714,2512.335538365797,466.96024915993837,881.8381577729657,2259.366630886524,673.582029386045,1268.173802544189,2677.870754896452,Male,CBAS,13.851,13.901,textgrids/cbas/p112.TextGrid,0.049999999999998934,13.851,14.441,amigas,True,False,s,m,786.5012766292012,410.6918855202422,1832.2541563224452,711.5070949068413,3053.600962350595,1908.4721928440692,1.5452327417117149,1,0,unstressed,942.4926542274492,919.2481091972724,938.576788207814,0.7110960405793476,1.352757255485291,0.5079806468872788,0.9593037493903852,0.7176632086461789,1.3511668075296546
p112,a,478.6567905559377,1578.3606835980047,2307.3584636113765,475.0403538783967,1629.0551541816462,2337.642385561276,482.84081068867005,1559.6386921567364,2324.7274816523222,Male,CBAS,14.171,14.220999999999998,textgrids/cbas/p112.TextGrid,0.05000000000000071,13.851,14.441,amigas,False,False,G,s,786.5012766292012,410.6918855202422,1832.2541563224452,711.5070949068413,3053.600962350595,1908.4721928440692,1.5452327417117149,1,1,stressed,942.4926542274492,919.2481091972724,938.576788207814,0.5078626219620643,1.6746662974172142,0.5167705531569955,1.7721604623198064,0.5144393263876054,1.661706012498799
p112,a,656.1557243078843,1020.41867485699,2572.2661373551496,645.4102521491409,872.5090575210236,2554.069990579899,654.7356812893604,1229.8913330711353,2568.321765504702,Male,CBAS,18.165,18.235,textgrids/cbas/p112.TextGrid,0.07000000000000027,18.055,18.545,valor,False,False,b,l,786.5012766292012,410.6918855202422,1832.2541563224452,711.5070949068413,3053.600962350595,1908.4721928440692,1.5452327417117149,1,0,unstressed,942.4926542274492,919.2481091972724,938.576788207814,0.6961918709549284,1.0826807723964873,0.7021066953433728,0.9491551288399566,0.6975835003756696,1.3103790212195403
p112,a,591.7839153232245,1303.5648476627046,2618.076381318827,538.9894115217446,1270.5730550432395,2621.113634334919,598.759252542843,1393.2523338704289,2599.032938910654,Male,CBAS,21.773000000000003,21.843000000000004,textgrids/cbas/p112.TextGrid,0.07000000000000027,21.643,22.373,zanahoria,False,False,s,n,786.5012766292012,410.6918855202422,1832.2541563224452,711.5070949068413,3053.600962350595,1908.4721928440692,1.5452327417117149,2,0,unstressed,942.4926542274492,919.2481091972724,938.576788207814,0.6278923370583755,1.3831034563672246,0.5863372533802802,1.3821872923434777,0.6379438103153573,1.4844308439917901
p112,a,469.00166640661047,1564.9810230885778,2394.984925882049,460.7517470422888,1736.3784665097219,2399.552639759634,396.98524839223603,1487.2621038845841,2582.8091853282203,Male,CBAS,22.273000000000003,22.373,textgrids/cbas/p112.TextGrid,0.10000000000000142,21.643,22.373,zanahoria,False,True,j,sp,786.5012766292012,410.6918855202422,1832.2541563224452,711.5070949068413,3053.600962350595,1908.4721928440692,1.5452327417117149,2,1,unstressed,942.4926542274492,919.2481091972724,938.576788207814,0.497618378565556,1.6604702605044444,0.5012267552496108,1.8889116541409081,0.4229651248357294,1.5845928884779574
p112,a,677.1105414995081,1071.8944259428185,2551.680524968659,651.1250229687206,1016.762511165791,2627.6580430394893,632.1418606352165,1133.151248821609,2486.369099485088,Male,CBAS,25.948,26.018,textgrids/cbas/p112.TextGrid,0.07000000000000027,25.848000000000006,26.608,valuación,False,False,b,l,786.5012766292012,410.6918855202422,1832.2541563224452,711.5070949068413,3053.600962350595,1908.4721928440692,1.5452327417117149,2,0,unstressed,942.4926542274492,919.2481091972724,938.576788207814,0.7184252720298687,1.1372973795975512,0.7083234835667069,1.106080611961957,0.6735110739764549,1.2073079827440965
p112,a,537.5494973931462,1129.4154975384579,2427.305336920711,533.4520255579956,1050.9140257115441,2456.9683940965706,507.90885735107287,1145.7556640480334,2012.5296103228393,Male,CBAS,26.158,26.208,textgrids/cbas/p112.TextGrid,0.04999999999999717,25.848000000000006,26.608,valuación,False,False,w,T,786.5012766292012,410.6918855202422,1832.2541563224452,711.5070949068413,3053.600962350595,1908.4721928440692,1.5452327417117149,2,1,unstressed,942.4926542274492,919.2481091972724,938.576788207814,0.5703487395705695,1.1983281699571728,0.5803134324897651,1.1432321863889914,0.5411478993859528,1.2207372677901205
p112,a,570.6543531448879,1409.3774231547918,2149.30623309104,482.3922069947747,1420.1426990210407,2022.5636871136512,561.8708683733882,1338.0995668288858,2201.164730734562,Male,CBAS,28.394,28.474,textgrids/cbas/p112.TextGrid,0.08000000000000185,28.304,28.674,cajas,False,False,k,x,786.5012766292012,410.6918855202422,1832.2541563224452,711.5070949068413,3053.600962350595,1908.4721928440692,1.5452327417117149,0,0,stressed,942.4926542274492,919.2481091972724,938.576788207814,0.6054735287169394,1.4953723159890755,0.5247682341343303,1.5448959696650029,0.5986413423309401,1.4256687184688952
p112,a,524.1938117353968,1142.1922392512215,2174.44205289922,500.2479459706098,1196.8530678796842,2291.7880381514465,556.9521634238934,1298.6163491480866,1906.7896325926945,Male,CBAS,28.514,28.574,textgrids/cbas/p112.TextGrid,0.060000000000002274,28.304,28.674,cajas,False,False,x,s,786.5012766292012,410.6918855202422,1832.2541563224452,711.5070949068413,3053.600962350595,1908.4721928440692,1.5452327417117149,0,1,unstressed,942.4926542274492,919.2481091972724,938.576788207814,0.5561781403644708,1.2118845002430962,0.544192521002244,1.301991329549569,0.5934007429348193,1.3836016034742964
p112,a,566.4207827032178,1225.645565759693,2627.3518220011065,501.9043402573275,1295.2833799929767,2529.907197868687,539.6132524806195,1143.223870600351,2721.7465917068466,Male,CBAS,28.674,28.714,textgrids/cbas/p112.TextGrid,0.03999999999999915,28.674,29.444000000000006,amarillas,True,False,s,m,786.5012766292012,410.6918855202422,1832.2541563224452,711.5070949068413,3053.600962350595,1908.4721928440692,1.5452327417117149,2,0,unstressed,942.4926542274492,919.2481091972724,938.576788207814,0.6009816417800165,1.3004298338689346,0.5459944222192769,1.4090683103216548,0.5749271229165979,1.2180397863698555
p112,a,562.2555926077624,1270.29576675093,2419.46369219897,479.8105933641182,1121.2566741336634,2354.782514329232,547.2634755349526,1358.8585281122016,2310.463407438955,Male,CBAS,28.814,28.854,textgrids/cbas/p112.TextGrid,0.03999999999999915,28.674,29.444000000000006,amarillas,False,False,m,rf,786.5012766292012,410.6918855202422,1832.2541563224452,711.5070949068413,3053.600962350595,1908.4721928440692,1.5452327417117149,2,1,unstressed,942.4926542274492,919.2481091972724,938.576788207814,0.5965623075000379,1.3478044216611718,0.5219598371359281,1.2197541261333609,0.5830779989562035,1.447786206930286
p112,a,453.51616933299766,1623.7482602472116,2303.90962593515,441.75323716917535,1869.8300556897955,2479.6392521180733,446.9512801526986,1565.8916055342218,2290.240525520773,Male,CBAS,29.094,29.184,textgrids/cbas/p112.TextGrid,0.08999999999999986,28.674,29.444000000000006,amarillas,False,False,L,s,786.5012766292012,410.6918855202422,1832.2541563224452,711.5070949068413,3053.600962350595,1908.4721928440692,1.5452327417117149,2,2,stressed,942.4926542274492,919.2481091972724,938.576788207814,0.4811880148866942,1.7228232527479803,0.4805593101028334,2.034086376661261,0.4762010799416204,1.6683681348270372
p112,a,646.1494661100272,1057.1669884896,2501.765378202597,620.6931936129578,959.3933143748493,2432.9409285557667,654.2513944060286,1094.8826142562036,2482.991069879621,Male,CBAS,30.856,30.906,textgrids/cbas/p112.TextGrid,0.04999999999999717,30.646,31.466,barómetro,False,False,b,rf,786.5012766292012,410.6918855202422,1832.2541563224452,711.5070949068413,3053.600962350595,1908.4721928440692,1.5452327417117149,1,0,unstressed,942.4926542274492,919.2481091972724,938.576788207814,0.6855750686350641,1.12167132947699,0.6752183522628882,1.043671784337564,0.6970675203414131,1.1665349367384752
p112,a,604.5378088728991,1369.0224147779077,2426.029878745468,351.37479355408533,1354.1107156317014,2392.4200342769072,624.6278404273111,1333.2817172899365,2391.321517045956,Male,CBAS,32.824,32.894,textgrids/cbas/p112.TextGrid,0.07000000000000027,32.764,33.364000000000004,carbono,False,False,k,rf,786.5012766292012,410.6918855202422,1832.2541563224452,711.5070949068413,3053.600962350595,1908.4721928440692,1.5452327417117149,1,0,unstressed,942.4926542274492,919.2481091972724,938.576788207814,0.6414244250725031,1.4525549972589231,0.3822415189528332,1.47306336785851,0.6655053142961487,1.4205355747565422
p112,a,566.1862876054264,1383.2647563052146,2535.922679198099,528.2271934511855,1413.3884466534616,2399.9100568264785,553.6045080385389,1371.7605084254162,2611.7412915826567,Male,CBAS,41.737,41.857,textgrids/cbas/p112.TextGrid,0.11999999999999746,41.227,41.937,pulverizar,False,False,T,rf,786.5012766292012,410.6918855202422,1832.2541563224452,711.5070949068413,3053.600962350595,1908.4721928440692,1.5452327417117149,3,0,unstressed,942.4926542274492,919.2481091972724,938.576788207814,0.6007328386760988,1.4676663527304217,0.5746296219335784,1.5375483860257206,0.5898340071840378,1.4615325305932123
p112,a,582.1462973810583,1287.0491041408495,2381.3958368855288,578.4214903187998,1183.388488776924,2474.1744124093907,580.7219865525602,1455.4888329241107,2129.3141203373325,Male,CBAS,43.389,43.449,textgrids/cbas/p112.TextGrid,0.059999999999995175,43.289,43.889,vaqueta,False,False,b,k,786.5012766292012,410.6918855202422,1832.2541563224452,711.5070949068413,3053.600962350595,1908.4721928440692,1.5452327417117149,1,0,unstressed,942.4926542274492,919.2481091972724,938.576788207814,0.6176666680317389,1.365579984488929,0.6292332663310046,1.2873439465764152,0.6187261328520947,1.5507402816804428
p112,a,674.1745071764437,1418.11498485903,2570.839858047089,541.0213834308809,1072.1437618225252,2312.7035719890023,496.13066403221677,1174.234323609226,2367.9183996640313,Male,CBAS,43.769,43.889,textgrids/cbas/p112.TextGrid,0.12000000000000455,43.289,43.889,vaqueta,False,True,t,sp,786.5012766292012,410.6918855202422,1832.2541563224452,711.5070949068413,3053.600962350595,1908.4721928440692,1.5452327417117149,1,1,stressed,942.4926542274492,919.2481091972724,938.576788207814,0.7153100919699551,1.5046430107420234,0.5885477250568667,1.1663268611547843,0.5285989066270905,1.2510796541766107
p112,a,472.3833220710058,1315.1089943142244,2709.9555829516057,1009.2693478401628,1866.0368723112977,2752.524019470913,569.4469526095729,1210.267787003666,2681.458092616292,Male,CBAS,45.271,45.371,textgrids/cbas/p112.TextGrid,0.10000000000000142,45.271,45.621,hablas,True,False,sp,b,786.5012766292012,410.6918855202422,1832.2541563224452,711.5070949068413,3053.600962350595,1908.4721928440692,1.5452327417117149,0,0,stressed,942.4926542274492,919.2481091972724,938.576788207814,0.5012063700997365,1.3953519832918009,1.0979292072969298,2.029959978857941,0.6067132276911683,1.289471252868546
p112,a,553.4283310477316,1222.6875828154307,2427.7944941233677,542.7408875743297,1051.1630404613525,2385.6523393050697,536.7561867939772,1299.0682868179813,2449.296407017959,Male,CBAS,45.49100000000001,45.53100000000001,textgrids/cbas/p112.TextGrid,0.03999999999999915,45.271,45.621,hablas,False,False,l,s,786.5012766292012,410.6918855202422,1832.2541563224452,711.5070949068413,3053.600962350595,1908.4721928440692,1.5452327417117149,0,1,unstressed,942.4926542274492,919.2481091972724,938.576788207814,0.5871964397445312,1.297291365965769,0.5904182800531128,1.1435030759859532,0.5718830824901371,1.3840831172679176
