Participant,Vowel,F1.50,F2.50,F3.50,F1.25,F2.25,F3.25,F1.75,F2.75,F3.75,Gender,Corpus,t1_ph,t2_ph,fname,dur_ph,t1_wd,t2_wd,word,is_wdinit_ph,is_wdfin_ph,prev_ph,next_ph,upper_f1,lower_f1,upper_f2,lower_f2,upper,lower,Speech Rate,stress_vowel,vowel_ind,stress,Delta F.50,Delta F.25,Delta F.75,F1.50_norm,F2.50_norm,F1.25_norm,F2.25_norm,F1.75_norm,F2.75_norm,Dur_ms,Dur_norm,Dur_log
p112,a,670.2027946962593,1274.9637762477714,2512.335538365797,466.96024915993837,881.8381577729657,2259.366630886524,673.582029386045,1268.173802544189,2677.870754896452,Male,CBAS,13.851,13.901,textgrids/cbas/p112.TextGrid,0.049999999999998934,13.851,14.441,amigas,True,False,s,m,786.5012766292012,410.6918855202422,1832.2541563224452,711.5070949068413,3053.600962350595,1908.4721928440692,1.5452327417117149,1,0,unstressed,942.4926542274492,919.2481091972724,938.576788207814,0.7110960405793476,1.352757255485291,0.5079806468872788,0.9593037493903852,0.7176632086461789,1.3511668075296546,49.999999999998934,77.2616370855841,3.9120230054281246
p112,a,591.7839153232245,1303.5648476627046,2618.076381318827,538.9894115217446,1270.5730550432395,2621.113634334919,598.759252542843,1393.2523338704289,2599.032938910654,Male,CBAS,21.773000000000003,21.843000000000004,textgrids/cbas/p112.TextGrid,0.07000000000000027,21.643,22.373,zanahoria,False,False,s,n,786.5012766292012,410.6918855202422,1832.2541563224452,711.5070949068413,3053.600962350595,1908.4721928440692,1.5452327417117149,2,0,unstressed,942.4926542274492,919.2481091972724,938.576788207814,0.6278923370583755,1.3831034563672246,0.5863372533802802,1.3821872923434777,0.6379438103153573,1.4844308439917901,70.00000000000027,108.16629191982045,4.248495242049363
p112,a,566.4207827032178,1225.645565759693,2627.3518220011065,501.9043402573275,1295.2833799929767,2529.907197868687,539.6132524806195,1143.223870600351,2721.7465917068466,Male,CBAS,28.674,28.714,textgrids/cbas/p112.TextGrid,0.03999999999999915,28.674,29.444000000000006,amarillas,True,False,s,m,786.5012766292012,410.6918855202422,1832.2541563224452,711.5070949068413,3053.600962350595,1908.4721928440692,1.5452327417117149,2,0,unstressed,942.4926542274492,919.2481091972724,938.576788207814,0.6009816417800165,1.3004298338689346,0.5459944222192769,1.4090683103216548,0.5749271229165979,1.2180397863698555,39.99999999999915,61.80930966846728,3.688879454113915
p112,a,674.1745071764437,1418.11498485903,2570.839858047089,541.0213834308809,1072.1437618225252,2312.7035719890023,496.13066403221677,1174.234323609226,2367.9183996640313,Male,CBAS,43.769,43.889,textgrids/cbas/p112.TextGrid,0.12000000000000455,43.289,43.889,vaqueta,False,True,t,sp,786.5012766292012,410.6918855202422,1832.2541563224452,711.5070949068413,3053.600962350595,1908.4721928440692,1.5452327417117149,1,1,stressed,942.4926542274492,919.2481091972724,938.576788207814,0.7153100919699551,1.5046430107420234,0.5885477250568667,1.1663268611547843,0.5285989066270905,1.2510796541766107,120.00000000000455,185.4279290054128,4.787491742782084
p112,a,525.3848854243861,1544.1773027384113,2333.4584286828976,495.54175409099776,1444.707474019022,2405.9552822492456,470.9113572644818,1669.6273070174775,2184.638657851648,Male,CBAS,45.621,45.691,textgrids/cbas/p112.TextGrid,0.07000000000000027,45.621,45.981,aquí,True,False,s,k,786.5012766292012,410.6918855202422,1832.2541563224452,711.5070949068413,3053.600962350595,1908.4721928440692,1.5452327417117149,1,0,unstressed,942.4926542274492,919.2481091972724,938.576788207814,0.557441888876087,1.6383971756301448,0.5390729109290487,1.5716186517703077,0.501729174619451,1.7788926042008602,70.00000000000027,108.16629191982045,4.248495242049363
p112,a,535.5309513730209,1406.926341746954,2291.8458293012077,484.6537317498468,1325.3198607376507,2368.516410470052,474.31143576394567,1278.2513727060225,2486.7647253408068,Male,CBAS,58.62300000000001,58.69300000000001,textgrids/cbas/p112.TextGrid,0.07000000000000027,58.62300000000001,59.213,hambriento,True,False,s,m,786.5012766292012,410.6918855202422,1832.2541563224452,711.5070949068413,3053.600962350595,1908.4721928440692,1.5452327417117149,1,0,unstressed,942.4926542274492,919.2481091972724,938.576788207814,0.5682070294881924,1.4927716788415673,0.5272284238616141,1.4417433633831218,0.505351764206347,1.3619038833751764,70.00000000000027,108.16629191982045,4.248495242049363
p112,a,545.90372894962,1351.2839365032366,2399.097653451291,540.7799087050546,1179.5235718921624,1347.4296352252538,517.9383295995267,1204.561542736862,2271.009929832886,Male,CBAS,68.64699999999999,68.797,textgrids/cbas/p112.TextGrid,0.14999999999999147,68.067,68.797,vagoneta,False,True,t,sp,786.5012766292012,410.6918855202422,1832.2541563224452,711.5070949068413,3053.600962350595,1908.4721928440692,1.5452327417117149,2,1,unstressed,942.4926542274492,919.2481091972724,938.576788207814,0.5792127148164261,1.4337341839665256,0.5882850378417283,1.2831395137947836,0.5518337296498834,1.2833915752774352,149.99999999999147,231.78491125674407,5.010635294096199
p112,a,591.3990539236933,1531.4161842697242,2493.5632096663485,579.5201422198892,1563.6036926781012,2569.447878676887,570.5066045263217,1521.9880201388253,2469.9878477601706,Male,CBAS,89.47,89.53,textgrids/cbas/p112.TextGrid,0.060000000000002274,89.41,89.82,tareas,False,False,t,rf,786.5012766292012,410.6918855202422,1832.2541563224452,711.5070949068413,3053.600962350595,1908.4721928440692,1.5452327417117149,1,0,unstressed,942.4926542274492,919.2481091972724,938.576788207814,0.6274839928683121,1.6248574218597058,0.6304284299545108,1.7009593786855957,0.6078422263304508,1.6215913703182652,60.000000000002274,92.7139645027064,4.094344562222139
p112,a,686.7514138716842,1268.0719631075838,2712.2229825304225,544.3431882318813,1135.3573244395316,2389.9727221114067,698.936260311182,1295.9098005497729,2640.5454090763074,Male,CBAS,104.692,104.802,textgrids/cbas/p112.TextGrid,0.11000000000001364,104.692,105.142,apio,True,False,s,p,786.5012766292012,410.6918855202422,1832.2541563224452,711.5070949068413,3053.600962350595,1908.4721928440692,1.5452327417117149,0,0,stressed,942.4926542274492,919.2481091972724,938.576788207814,0.7286543940595556,1.345444929909834,0.5921613357543106,1.2350934563585614,0.7446766946429403,1.3807179304149169,110.00000000001364,169.97560158830973,4.70048036579254
p112,a,543.6555042491681,1346.2236512982222,2626.2114379412546,497.7440347187233,1184.369214252273,2353.592488027406,533.506297065923,1345.6212069413334,2380.240538834972,Male,CBAS,124.665,124.815,textgrids/cbas/p112.TextGrid,0.14999999999999147,124.205,124.815,baliza,False,True,s,sp,786.5012766292012,410.6918855202422,1832.2541563224452,711.5070949068413,3053.600962350595,1908.4721928440692,1.5452327417117149,1,1,stressed,942.4926542274492,919.2481091972724,938.576788207814,0.5768273119272176,1.428365139250562,0.541468652193775,1.2884108244579535,0.5684205104673836,1.4336825967225966,149.99999999999147,231.78491125674407,5.010635294096199
